Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.35,25.0,17,92,9.35,1.92
multidim-2,multidim-2,26.77,11.0,21,98,5.77,1.98
Matrix,Matrix,26.77,11.0,21,98,5.77,1.98
Hierarchical,Hierarchical,27.54,21.0,[5 3 3],100,22.54,4.0
multidim-3,multidim-3,46.08,25.0,15,99,31.08,1.99
STD,STD,49.0,15.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,62.0,34.0,62,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,51.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
multidim-4,multidim-4,88.73,36.0,13,100,75.73,2.0
Binary,Binary,107.43,51.0,7,100,100.43,2.0
