Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,16.26,38.0,13,75,3.26,1.75
multidim-3,multidim-3,17.59,25.0,15,86,2.59,1.86
multidim-4,multidim-4,17.71,39.0,14,89,3.71,1.89
Hierarchical,Hierarchical,21.38,29.0,[4 3 3],100,17.38,4.0
Matrix,Matrix,23.55,11.0,22,77,1.55,1.77
multidim-2,multidim-2,23.55,11.0,22,77,1.55,1.77
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,24.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,36.0,29.0,36,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,58.0,41,0,0.0,1.0
Binary,Binary,96.97,58.0,7,100,89.97,2.0
