Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.32,34.0,19,87,7.32,1.87
multidim-2,multidim-2,28.91,12.0,23,98,5.91,1.98
Matrix,Matrix,28.91,12.0,23,98,5.91,1.98
Hierarchical,Hierarchical,29.39,27.0,[5 3 3],100,24.39,4.0
multidim-3,multidim-3,45.74,30.0,16,99,29.74,1.99
STD,STD,49.0,19.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,33.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,66.0,77,0,0.0,1.0
multidim-4,multidim-4,109.67,45.0,14,100,95.67,2.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
Binary,Binary,139.11,66.0,8,100,131.11,2.0
