Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,9.0,250.0,9,0,0.0,1.0
Hierarchical,Hierarchical,17.06,167.0,[3 3 3 3 3],100,14.06,6.0
multidim-4,multidim-4,19.0,125.0,19,0,0.0,1.0
STD,STD,20.0,100.0,20,0,0.0,1.0
Random,Random,21.0,148.0,21,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,250.0,23,0,0.0,1.0
multidim-3,multidim-3,24.0,64.0,24,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,250.0,28,0,0.0,1.0
Matrix,Matrix,45.0,23.0,45,0,0.0,1.0
multidim-2,multidim-2,45.0,23.0,45,0,0.0,1.0
