Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,13.15,16.0,10,80,3.15,1.8
multidim-3,multidim-3,13.18,16.0,11,77,2.18,1.77
multidim-4,multidim-4,13.75,23.0,11,78,2.75,1.78
multidim-2,multidim-2,15.3,7.0,14,65,1.3,1.65
Matrix,Matrix,15.3,7.0,14,65,1.3,1.65
Hierarchical,Hierarchical,16.24,10.0,[5 3],100,11.24,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,10.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,28.0,23.0,28,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,23.0,28,0,0.0,1.0
Binary,Binary,36.95,23.0,6,99,30.95,1.99
