Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,20.41,8.0,15,95,5.41,1.95
Matrix,Matrix,20.41,8.0,15,95,5.41,1.95
Hierarchical,Hierarchical,21.72,9.0,[6 3],100,15.72,3.0
Random,Random,21.95,11.0,14,90,7.95,1.9
multidim-3,multidim-3,38.06,16.0,12,98,26.06,1.98
STD,STD,49.0,8.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,49.0,13.0,49,0,0.0,1.0
multidim-4,multidim-4,50.36,26.0,11,99,39.36,1.99
Binary,Binary,56.55,26.0,6,100,50.55,2.0
Chinese remainder,Chinese remainder,58.0,26.0,58,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,60.0,16.0,60,0,0.0,1.0
