Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,23.57,9.0,18,97,5.57,1.97
Matrix,Matrix,23.57,9.0,18,97,5.57,1.97
Random,Random,23.6,17.0,16,90,7.6,1.9
Hierarchical,Hierarchical,24.84,10.0,[8 3],100,16.84,3.0
multidim-3,multidim-3,40.54,20.0,13,99,27.54,1.99
STD,STD,49.0,11.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,57.0,15.0,57,0,0.0,1.0
Chinese remainder,Chinese remainder,58.0,37.0,58,0,0.0,1.0
multidim-4,multidim-4,68.18,27.0,12,99,56.18,1.99
Binary,Binary,80.2,37.0,7,100,73.2,2.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
