Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Binary,Binary,10.0,400.0,10,0,0.0,1.0
Hierarchical,Hierarchical,18.34,267.0,[3 3 3 3 3],100,15.34,6.0
multidim-4,multidim-4,22.0,160.0,22,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,23.0,267.0,23,0,0.0,1.0
STD,STD,25.0,160.0,25,0,0.0,1.0
Random,Random,27.0,192.0,27,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,400.0,28,0,0.0,1.0
multidim-3,multidim-3,28.0,90.0,28,0,0.0,1.0
Matrix,Matrix,57.0,29.0,57,0,0.0,1.0
multidim-2,multidim-2,57.0,29.0,57,0,0.0,1.0
