Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,24.66,10.0,19,98,5.66,1.98
Matrix,Matrix,24.66,10.0,19,98,5.66,1.98
Random,Random,26.42,23.0,16,95,10.42,1.95
Hierarchical,Hierarchical,26.49,18.0,[5 3 2],100,21.49,4.0
multidim-3,multidim-3,41.84,22.0,14,99,27.84,1.99
STD,STD,49.0,13.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,30.0,60,0,0.0,1.0
multidim-4,multidim-4,75.94,34.0,13,99,62.94,1.99
Chinese remainder,Chinese remainder,77.0,44.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,94.37,44.0,7,100,87.37,2.0
