Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,13.68,19.0,11,73,2.68,1.73
multidim-4,multidim-4,14.0,26.0,11,81,3.0,1.81
multidim-3,multidim-3,14.17,16.0,12,76,2.17,1.76
multidim-2,multidim-2,16.35,8.0,15,68,1.35,1.68
Matrix,Matrix,16.35,8.0,15,68,1.35,1.68
Hierarchical,Hierarchical,16.98,11.0,[5 3],100,11.98,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,11.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,26.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,26.0,41,0,0.0,1.0
Binary,Binary,41.25,26.0,6,100,35.25,2.0
