Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,12.5,14.0,10,67,2.5,1.67
multidim-3,multidim-3,13.05,13.0,11,72,2.05,1.72
multidim-4,multidim-4,13.71,19.0,11,74,2.71,1.74
multidim-2,multidim-2,14.28,7.0,13,64,1.28,1.64
Matrix,Matrix,14.28,7.0,13,64,1.28,1.64
Hierarchical,Hierarchical,15.05,10.0,[4 3],100,11.05,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,8.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,27.0,10.0,27,0,0.0,1.0
Chinese remainder,Chinese remainder,28.0,19.0,28,0,0.0,1.0
Binary,Binary,28.46,19.0,6,99,22.46,1.99
