Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,15.35,29.0,12,79,3.35,1.79
multidim-3,multidim-3,16.46,22.0,14,84,2.46,1.84
multidim-4,multidim-4,16.46,34.0,13,86,3.46,1.86
Hierarchical,Hierarchical,19.93,22.0,[4 3 3],100,15.93,4.0
Matrix,Matrix,20.52,10.0,19,76,1.52,1.76
multidim-2,multidim-2,20.52,10.0,19,76,1.52,1.76
Ch. Rm. Special,Ch. Rm. Special,25.0,81.0,25,0,0.0,1.0
STD,STD,25.0,18.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,30.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,44.0,41,0,0.0,1.0
Binary,Binary,64.54,44.0,7,100,57.54,2.0
