Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,26.42,30.0,19,87,7.42,1.87
multidim-2,multidim-2,28.83,12.0,23,98,5.83,1.98
Matrix,Matrix,28.83,12.0,23,98,5.83,1.98
Hierarchical,Hierarchical,29.35,27.0,[5 3 3],100,24.35,4.0
multidim-3,multidim-3,45.98,30.0,16,99,29.98,1.99
STD,STD,49.0,19.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,66.0,33.0,66,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,66.0,77,0,0.0,1.0
multidim-4,multidim-4,108.59,45.0,14,100,94.59,2.0
Ch. Rm. Special,Ch. Rm. Special,112.0,64.0,112,0,0.0,1.0
Binary,Binary,138.04,66.0,8,100,130.04,2.0
