Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.85,26.0,11,84,3.85,1.84
multidim-4,multidim-4,15.37,27.0,12,86,3.37,1.86
multidim-3,multidim-3,15.41,20.0,13,82,2.41,1.82
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
Hierarchical,Hierarchical,19.08,19.0,[4 3 3],100,15.08,4.0
Matrix,Matrix,19.45,9.0,18,72,1.45,1.72
multidim-2,multidim-2,19.45,9.0,18,72,1.45,1.72
STD,STD,25.0,15.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,34.0,38.0,34,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,38.0,41,0,0.0,1.0
Binary,Binary,52.71,38.0,7,100,45.71,2.0
