Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
multidim-2,multidim-2,23.89,10.0,19,98,4.89,1.98
Matrix,Matrix,23.89,10.0,19,98,4.89,1.98
Random,Random,24.37,22.0,16,92,8.37,1.92
Hierarchical,Hierarchical,26.59,18.0,[5 3 3],100,21.59,4.0
multidim-3,multidim-3,40.75,23.0,14,99,26.75,1.99
STD,STD,49.0,13.0,49,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,60.0,30.0,60,0,0.0,1.0
Chinese remainder,Chinese remainder,77.0,45.0,77,0,0.0,1.0
Ch. Rm. Special,Ch. Rm. Special,84.0,32.0,84,0,0.0,1.0
Binary,Binary,97.0,45.0,7,100,90.0,2.0
multidim-4,multidim-4,102.1,36.0,13,99,89.1,1.99
