Unnamed: 0,Method,Mean experiments,Max compunds per well,N wells,Percentage check,Mean extra experiments,Mean steps
Random,Random,14.25,22.0,11,81,3.25,1.81
multidim-3,multidim-3,14.32,16.0,12,81,2.32,1.81
multidim-4,multidim-4,15.02,27.0,12,82,3.02,1.82
multidim-2,multidim-2,17.38,8.0,16,69,1.38,1.69
Matrix,Matrix,17.38,8.0,16,69,1.38,1.69
Hierarchical,Hierarchical,17.94,12.0,[5 4],100,12.94,3.0
Ch. Rm. Special,Ch. Rm. Special,18.0,27.0,18,0,0.0,1.0
STD,STD,25.0,12.0,25,0,0.0,1.0
Ch. Rm. Bktrk,Ch. Rm. Bktrk,30.0,20.0,30,0,0.0,1.0
Chinese remainder,Chinese remainder,41.0,30.0,41,0,0.0,1.0
Binary,Binary,50.73,30.0,6,100,44.73,2.0
